a,b,c,x,y,z
1.0,0.3,0.3,0.3,0.3,66.0
1.0,0.3,0.30349139392986213,0.3,0.30349139392986213,67.0
1.0,0.3,0.30702342063163596,0.3,0.30702342063163596,68.0
1.0,0.3,0.3105965529886986,0.3,0.3105965529886986,69.0
1.0,0.3,0.3142112693878348,0.3,0.3142112693878348,71.0
1.0,0.3,0.31786805378328475,0.3,0.31786805378328475,72.0
1.0,0.3,0.3215673957615383,0.3,0.3215673957615383,72.0
1.0,0.3,0.32530979060688303,0.3,0.32530979060688303,73.0
1.0,0.3,0.3290957393677151,0.3,0.3290957393677151,74.0
1.0,0.3,0.33292574892362153,0.3,0.33292574892362153,74.0
1.0,0.3,0.33680033205324406,0.3,0.33680033205324406,75.0
1.0,0.3,0.3407200075029316,0.3,0.3407200075029316,76.0
1.0,0.3,0.34468530005619263,0.3,0.34468530005619263,77.0
1.0,0.3,0.3486967406039557,0.3,0.3486967406039557,77.0
1.0,0.3,0.35275486621564695,0.3,0.35275486621564695,77.0
1.0,0.3,0.3568602202110958,0.3,0.3568602202110958,77.0
1.0,0.3,0.36101335223327685,0.3,0.36101335223327685,78.0
1.0,0.3,0.36521481832189834,0.3,0.36521481832189834,78.0
1.0,0.3,0.36946518098784764,0.3,0.36946518098784764,78.0
1.0,0.3,0.3737650092885023,0.3,0.3737650092885023,78.0
1.0,0.3,0.37811487890391815,0.3,0.37811487890391815,78.0
1.0,0.3,0.3825153722139039,0.3,0.3825153722139039,79.0
1.0,0.3,0.3869670783759926,0.3,0.3869670783759926,79.0
1.0,0.3,0.39147059340432067,0.3,0.39147059340432067,79.0
1.0,0.3,0.39602652024942525,0.3,0.39602652024942525,79.0
1.0,0.3,0.40063546887896956,0.3,0.40063546887896956,79.0
1.0,0.3,0.405298056359408,0.3,0.405298056359408,79.0
1.0,0.3,0.41001490693860193,0.3,0.41001490693860193,79.0
1.0,0.3,0.4147866521293967,0.3,0.4147866521293967,79.0
1.0,0.3,0.4196139307941714,0.3,0.4196139307941714,79.0
1.0,0.3,0.4244973892303727,0.3,0.4244973892303727,79.0
1.0,0.3,0.4294376812570436,0.3,0.4294376812570436,78.0
1.0,0.3,0.4344354683023601,0.3,0.4344354683023601,78.0
