a,b,c,x,y,z
1.0,0.3,0.3,0.3,0.3,176.0
1.0,0.3,0.30349139392986213,0.3,0.30349139392986213,178.0
1.0,0.3,0.30702342063163596,0.3,0.30702342063163596,178.0
1.0,0.3,0.3105965529886986,0.3,0.3105965529886986,178.0
1.0,0.3,0.3142112693878348,0.3,0.3142112693878348,179.0
1.0,0.3,0.31786805378328475,0.3,0.31786805378328475,179.0
1.0,0.3,0.3215673957615383,0.3,0.3215673957615383,180.0
1.0,0.3,0.32530979060688303,0.3,0.32530979060688303,181.0
1.0,0.3,0.3290957393677151,0.3,0.3290957393677151,181.0
1.0,0.3,0.33292574892362153,0.3,0.33292574892362153,181.0
1.0,0.3,0.33680033205324406,0.3,0.33680033205324406,181.0
1.0,0.3,0.3407200075029316,0.3,0.3407200075029316,182.0
1.0,0.3,0.34468530005619263,0.3,0.34468530005619263,183.0
1.0,0.3,0.3486967406039557,0.3,0.3486967406039557,184.0
1.0,0.3,0.35275486621564695,0.3,0.35275486621564695,184.0
1.0,0.3,0.3568602202110958,0.3,0.3568602202110958,185.0
1.0,0.3,0.36101335223327685,0.3,0.36101335223327685,185.0
1.0,0.3,0.36521481832189834,0.3,0.36521481832189834,185.0
1.0,0.3,0.36946518098784764,0.3,0.36946518098784764,185.0
1.0,0.3,0.3737650092885023,0.3,0.3737650092885023,9.0
1.0,0.3,0.37811487890391815,0.3,0.37811487890391815,9.0
1.0,0.3,0.3825153722139039,0.3,0.3825153722139039,9.0
1.0,0.3,0.3869670783759926,0.3,0.3869670783759926,9.0
1.0,0.3,0.39147059340432067,0.3,0.39147059340432067,9.0
1.0,0.3,0.39602652024942525,0.3,0.39602652024942525,185.0
1.0,0.3,0.40063546887896956,0.3,0.40063546887896956,185.0
1.0,0.3,0.405298056359408,0.3,0.405298056359408,185.0
1.0,0.3,0.41001490693860193,0.3,0.41001490693860193,185.0
1.0,0.3,0.4147866521293967,0.3,0.4147866521293967,185.0
1.0,0.3,0.4196139307941714,0.3,0.4196139307941714,184.0
1.0,0.3,0.4244973892303727,0.3,0.4244973892303727,183.0
1.0,0.3,0.4294376812570436,0.3,0.4294376812570436,183.0
1.0,0.3,0.4344354683023601,0.3,0.4344354683023601,183.0
1.0,0.3,0.4394914194921857,0.3,0.4394914194921857,182.0
1.0,0.3,0.4446062117396574,0.3,0.4446062117396574,10.0
1.0,0.3,0.4497805298358136,0.3,0.4497805298358136,10.0
1.0,0.3,0.4550150665412768,0.3,0.4550150665412768,10.0
1.0,0.3,0.4603105226790037,0.3,0.4603105226790037,181.0
1.0,0.3,0.4656676072281142,0.3,0.4656676072281142,10.0
1.0,0.3,0.47108703741881314,0.3,0.47108703741881314,179.0
1.0,0.3,0.47656953882841574,0.3,0.47656953882841574,179.0
1.0,0.3,0.4821158454784916,0.3,0.4821158454784916,178.0
1.0,0.3,0.4877266999331382,0.3,0.4877266999331382,11.0
1.0,0.3,0.49340285339839907,0.3,0.49340285339839907,11.0
1.0,0.3,0.4991450658228386,0.3,0.4991450658228386,11.0
1.0,0.3,0.5049541059992869,0.3,0.5049541059992869,11.0
