a,b,c,x,y,z
1.0,0.3,0.3,0.3,0.3,13.0
1.0,0.3,0.30349139392986213,0.3,0.30349139392986213,13.0
1.0,0.3,0.30702342063163596,0.3,0.30702342063163596,13.0
1.0,0.3,0.3105965529886986,0.3,0.3105965529886986,13.0
1.0,0.3,0.3142112693878348,0.3,0.3142112693878348,13.0
1.0,0.3,0.31786805378328475,0.3,0.31786805378328475,13.0
1.0,0.3,0.3215673957615383,0.3,0.3215673957615383,13.0
1.0,0.3,0.32530979060688303,0.3,0.32530979060688303,13.0
1.0,0.3,0.3290957393677151,0.3,0.3290957393677151,13.0
1.0,0.3,0.33292574892362153,0.3,0.33292574892362153,13.0
1.0,0.3,0.33680033205324406,0.3,0.33680033205324406,13.0
1.0,0.3,0.3407200075029316,0.3,0.3407200075029316,13.0
1.0,0.3,0.34468530005619263,0.3,0.34468530005619263,13.0
1.0,0.3,0.3486967406039557,0.3,0.3486967406039557,13.0
1.0,0.3,0.35275486621564695,0.3,0.35275486621564695,13.0
1.0,0.3,0.3568602202110958,0.3,0.3568602202110958,13.0
1.0,0.3,0.36101335223327685,0.3,0.36101335223327685,13.0
1.0,0.3,0.36521481832189834,0.3,0.36521481832189834,13.0
1.0,0.3,0.36946518098784764,0.3,0.36946518098784764,13.0
1.0,0.3,0.3737650092885023,0.3,0.3737650092885023,13.0
1.0,0.3,0.37811487890391815,0.3,0.37811487890391815,13.0
1.0,0.3,0.3825153722139039,0.3,0.3825153722139039,13.0
1.0,0.3,0.3869670783759926,0.3,0.3869670783759926,13.0
1.0,0.3,0.39147059340432067,0.3,0.39147059340432067,13.0
1.0,0.3,0.39602652024942525,0.3,0.39602652024942525,13.0
1.0,0.3,0.40063546887896956,0.3,0.40063546887896956,13.0
1.0,0.3,0.405298056359408,0.3,0.405298056359408,13.0
1.0,0.3,0.41001490693860193,0.3,0.41001490693860193,13.0
1.0,0.3,0.4147866521293967,0.3,0.4147866521293967,13.0
1.0,0.3,0.4196139307941714,0.3,0.4196139307941714,13.0
1.0,0.3,0.4244973892303727,0.3,0.4244973892303727,13.0
1.0,0.3,0.4294376812570436,0.3,0.4294376812570436,12.0
1.0,0.3,0.4344354683023601,0.3,0.4344354683023601,12.0
1.0,0.3,0.4394914194921857,0.3,0.4394914194921857,12.0
1.0,0.3,0.4446062117396574,0.3,0.4446062117396574,12.0
1.0,0.3,0.4497805298358136,0.3,0.4497805298358136,12.0
1.0,0.3,0.4550150665412768,0.3,0.4550150665412768,12.0
1.0,0.3,0.4603105226790037,0.3,0.4603105226790037,12.0
1.0,0.3,0.4656676072281142,0.3,0.4656676072281142,12.0
