a,b,c,x,y,z
1.0,0.3,0.3,0.3,0.3,122.0
1.0,0.3,0.30349139392986213,0.3,0.30349139392986213,124.0
1.0,0.3,0.30702342063163596,0.3,0.30702342063163596,125.0
1.0,0.3,0.3105965529886986,0.3,0.3105965529886986,126.0
1.0,0.3,0.3142112693878348,0.3,0.3142112693878348,127.0
1.0,0.3,0.31786805378328475,0.3,0.31786805378328475,128.0
1.0,0.3,0.3215673957615383,0.3,0.3215673957615383,129.0
1.0,0.3,0.32530979060688303,0.3,0.32530979060688303,129.0
1.0,0.3,0.3290957393677151,0.3,0.3290957393677151,129.0
1.0,0.3,0.33292574892362153,0.3,0.33292574892362153,130.0
1.0,0.3,0.33680033205324406,0.3,0.33680033205324406,131.0
1.0,0.3,0.3407200075029316,0.3,0.3407200075029316,131.0
1.0,0.3,0.34468530005619263,0.3,0.34468530005619263,131.0
1.0,0.3,0.3486967406039557,0.3,0.3486967406039557,131.0
1.0,0.3,0.35275486621564695,0.3,0.35275486621564695,131.0
1.0,0.3,0.3568602202110958,0.3,0.3568602202110958,131.0
1.0,0.3,0.36101335223327685,0.3,0.36101335223327685,131.0
1.0,0.3,0.36521481832189834,0.3,0.36521481832189834,130.0
1.0,0.3,0.36946518098784764,0.3,0.36946518098784764,130.0
1.0,0.3,0.3737650092885023,0.3,0.3737650092885023,130.0
1.0,0.3,0.37811487890391815,0.3,0.37811487890391815,130.0
1.0,0.3,0.3825153722139039,0.3,0.3825153722139039,129.0
1.0,0.3,0.3869670783759926,0.3,0.3869670783759926,129.0
1.0,0.3,0.39147059340432067,0.3,0.39147059340432067,128.0
1.0,0.3,0.39602652024942525,0.3,0.39602652024942525,128.0
1.0,0.3,0.40063546887896956,0.3,0.40063546887896956,127.0
1.0,0.3,0.405298056359408,0.3,0.405298056359408,127.0
1.0,0.3,0.41001490693860193,0.3,0.41001490693860193,126.0
1.0,0.3,0.4147866521293967,0.3,0.4147866521293967,126.0
1.0,0.3,0.4196139307941714,0.3,0.4196139307941714,125.0
1.0,0.3,0.4244973892303727,0.3,0.4244973892303727,124.0
1.0,0.3,0.4294376812570436,0.3,0.4294376812570436,124.0
1.0,0.3,0.4344354683023601,0.3,0.4344354683023601,123.0
1.0,0.3,0.4394914194921857,0.3,0.4394914194921857,123.0
1.0,0.3,0.4446062117396574,0.3,0.4446062117396574,122.0
1.0,0.3,0.4497805298358136,0.3,0.4497805298358136,121.0
1.0,0.3,0.4550150665412768,0.3,0.4550150665412768,120.0
1.0,0.3,0.4603105226790037,0.3,0.4603105226790037,120.0
1.0,0.3,0.4656676072281142,0.3,0.4656676072281142,119.0
1.0,0.3,0.47108703741881314,0.3,0.47108703741881314,118.0
1.0,0.3,0.47656953882841574,0.3,0.47656953882841574,117.0
1.0,0.3,0.4821158454784916,0.3,0.4821158454784916,116.0
1.0,0.3,0.4877266999331382,0.3,0.4877266999331382,115.0
1.0,0.3,0.49340285339839907,0.3,0.49340285339839907,114.0
1.0,0.3,0.4991450658228386,0.3,0.4991450658228386,113.0
1.0,0.3,0.5049541059992869,0.3,0.5049541059992869,113.0
1.0,0.3,0.5108307516677699,0.3,0.5108307516677699,112.0
1.0,0.3,0.5167757896196359,0.3,0.5167757896196359,111.0
1.0,0.3,0.522790015802895,0.3,0.522790015802895,110.0
1.0,0.3,0.5288742354287842,0.3,0.5288742354287842,109.0
1.0,0.3,0.5350292630795728,0.3,0.5350292630795728,108.0
1.0,0.3,0.5412559228176216,0.3,0.5412559228176216,107.0
1.0,0.3,0.547555048295713,0.3,0.547555048295713,106.0
1.0,0.3,0.553927482868663,0.3,0.553927482868663,105.0
1.0,0.3,0.5603740797062347,0.3,0.5603740797062347,105.0
1.0,0.3,0.5668957019073629,0.3,0.5668957019073629,104.0
1.0,0.3,0.5734932226157106,0.3,0.5734932226157106,103.0
1.0,0.3,0.5801675251365692,0.3,0.5801675251365692,102.0
1.0,0.3,0.5869195030551191,0.3,0.5869195030551191,101.0
1.0,0.3,0.593750060356067,0.3,0.593750060356067,100.0
1.0,0.3,0.6006601115446754,0.3,0.6006601115446754,99.0
