a,b,c,x,y,z
1.0,0.3,0.3,0.3,0.3,18.0
1.0,0.3,0.30349139392986213,0.3,0.30349139392986213,19.0
1.0,0.3,0.30702342063163596,0.3,0.30702342063163596,19.0
1.0,0.3,0.3105965529886986,0.3,0.3105965529886986,20.0
1.0,0.3,0.3142112693878348,0.3,0.3142112693878348,20.0
1.0,0.3,0.31786805378328475,0.3,0.31786805378328475,21.0
1.0,0.3,0.3215673957615383,0.3,0.3215673957615383,22.0
1.0,0.3,0.32530979060688303,0.3,0.32530979060688303,23.0
1.0,0.3,0.3290957393677151,0.3,0.3290957393677151,24.0
1.0,0.3,0.33292574892362153,0.3,0.33292574892362153,25.0
1.0,0.3,0.33680033205324406,0.3,0.33680033205324406,26.0
1.0,0.3,0.3407200075029316,0.3,0.3407200075029316,27.0
1.0,0.3,0.34468530005619263,0.3,0.34468530005619263,27.0
1.0,0.3,0.3486967406039557,0.3,0.3486967406039557,28.0
1.0,0.3,0.35275486621564695,0.3,0.35275486621564695,29.0
1.0,0.3,0.3568602202110958,0.3,0.3568602202110958,29.0
1.0,0.3,0.36101335223327685,0.3,0.36101335223327685,31.0
1.0,0.3,0.36521481832189834,0.3,0.36521481832189834,31.0
1.0,0.3,0.36946518098784764,0.3,0.36946518098784764,32.0
1.0,0.3,0.3737650092885023,0.3,0.3737650092885023,32.0
1.0,0.3,0.37811487890391815,0.3,0.37811487890391815,33.0
1.0,0.3,0.3825153722139039,0.3,0.3825153722139039,34.0
1.0,0.3,0.3869670783759926,0.3,0.3869670783759926,34.0
1.0,0.3,0.39147059340432067,0.3,0.39147059340432067,35.0
1.0,0.3,0.39602652024942525,0.3,0.39602652024942525,36.0
1.0,0.3,0.40063546887896956,0.3,0.40063546887896956,36.0
1.0,0.3,0.405298056359408,0.3,0.405298056359408,36.0
1.0,0.3,0.41001490693860193,0.3,0.41001490693860193,36.0
1.0,0.3,0.4147866521293967,0.3,0.4147866521293967,37.0
1.0,0.3,0.4196139307941714,0.3,0.4196139307941714,37.0
1.0,0.3,0.4244973892303727,0.3,0.4244973892303727,38.0
1.0,0.3,0.4294376812570436,0.3,0.4294376812570436,38.0
1.0,0.3,0.4344354683023601,0.3,0.4344354683023601,38.0
1.0,0.3,0.4394914194921857,0.3,0.4394914194921857,38.0
1.0,0.3,0.4446062117396574,0.3,0.4446062117396574,38.0
1.0,0.3,0.4497805298358136,0.3,0.4497805298358136,38.0
1.0,0.3,0.4550150665412768,0.3,0.4550150665412768,38.0
1.0,0.3,0.4603105226790037,0.3,0.4603105226790037,38.0
1.0,0.3,0.4656676072281142,0.3,0.4656676072281142,38.0
1.0,0.3,0.47108703741881314,0.3,0.47108703741881314,38.0
1.0,0.3,0.47656953882841574,0.3,0.47656953882841574,38.0
1.0,0.3,0.4821158454784916,0.3,0.4821158454784916,38.0
1.0,0.3,0.4877266999331382,0.3,0.4877266999331382,38.0
1.0,0.3,0.49340285339839907,0.3,0.49340285339839907,38.0
1.0,0.3,0.4991450658228386,0.3,0.4991450658228386,38.0
1.0,0.3,0.5049541059992869,0.3,0.5049541059992869,38.0
1.0,0.3,0.5108307516677699,0.3,0.5108307516677699,38.0
1.0,0.3,0.5167757896196359,0.3,0.5167757896196359,38.0
1.0,0.3,0.522790015802895,0.3,0.522790015802895,38.0
1.0,0.3,0.5288742354287842,0.3,0.5288742354287842,38.0
1.0,0.3,0.5350292630795728,0.3,0.5350292630795728,37.0
1.0,0.3,0.5412559228176216,0.3,0.5412559228176216,37.0
1.0,0.3,0.547555048295713,0.3,0.547555048295713,37.0
1.0,0.3,0.553927482868663,0.3,0.553927482868663,37.0
1.0,0.3,0.5603740797062347,0.3,0.5603740797062347,36.0
1.0,0.3,0.5668957019073629,0.3,0.5668957019073629,36.0
1.0,0.3,0.5734932226157106,0.3,0.5734932226157106,36.0
1.0,0.3,0.5801675251365692,0.3,0.5801675251365692,36.0
1.0,0.3,0.5869195030551191,0.3,0.5869195030551191,35.0
1.0,0.3,0.593750060356067,0.3,0.593750060356067,35.0
1.0,0.3,0.6006601115446754,0.3,0.6006601115446754,35.0
1.0,0.3,0.6076505817692001,0.3,0.6076505817692001,35.0
1.0,0.3,0.6147224069447541,0.3,0.6147224069447541,35.0
1.0,0.3,0.6218765338786113,0.3,0.6218765338786113,34.0
1.0,0.3,0.6291139203969697,0.3,0.6291139203969697,34.0
1.0,0.3,0.636435535473189,0.3,0.636435535473189,34.0
1.0,0.3,0.6438423593575212,0.3,0.6438423593575212,33.0
1.0,0.3,0.6513353837083512,0.3,0.6513353837083512,33.0
1.0,0.3,0.6589156117249637,0.3,0.6589156117249637,33.0
1.0,0.3,0.666584058281857,0.3,0.666584058281857,32.0
1.0,0.3,0.6743417500646176,0.3,0.6743417500646176,32.0
1.0,0.3,0.6821897257073783,0.3,0.6821897257073783,32.0
1.0,0.3,0.6901290359318754,0.3,0.6901290359318754,32.0
1.0,0.3,0.6981607436881225,0.3,0.6981607436881225,31.0
1.0,0.3,0.7062859242967252,0.3,0.7062859242967252,31.0
1.0,0.3,0.7145056655928474,0.3,0.7145056655928474,31.0
1.0,0.3,0.7228210680718574,0.3,0.7228210680718574,30.0
1.0,0.3,0.7312332450366661,0.3,0.7312332450366661,30.0
1.0,0.3,0.7397433227467809,0.3,0.7397433227467809,30.0
1.0,0.3,0.7483524405690948,0.3,0.7483524405690948,29.0
1.0,0.3,0.7570617511304297,0.3,0.7570617511304297,29.0
1.0,0.3,0.7658724204718551,0.3,0.7658724204718551,29.0
1.0,0.3,0.7747856282048027,0.3,0.7747856282048027,29.0
1.0,0.3,0.7838025676689985,0.3,0.7838025676689985,28.0
1.0,0.3,0.7929244460922314,0.3,0.7929244460922314,28.0
1.0,0.3,0.802152484751984,0.3,0.802152484751984,28.0
1.0,0.3,0.8114879191389404,0.3,0.8114879191389404,27.0
1.0,0.3,0.820931999122401,0.3,0.820931999122401,27.0
1.0,0.3,0.8304859891176196,0.3,0.8304859891176196,27.0
1.0,0.3,0.8401511682550891,0.3,0.8401511682550891,26.0
1.0,0.3,0.8499288305517972,0.3,0.8499288305517972,26.0
1.0,0.3,0.8598202850844752,0.3,0.8598202850844752,26.0
1.0,0.3,0.8698268561648629,0.3,0.8698268561648629,25.0
1.0,0.3,0.8799498835170133,0.3,0.8799498835170133,25.0
1.0,0.3,0.8901907224566606,0.3,0.8901907224566606,25.0
1.0,0.3,0.9005507440726767,0.3,0.9005507440726767,24.0
1.0,0.3,0.9110313354106373,0.3,0.9110313354106373,24.0
1.0,0.3,0.9216338996585272,0.3,0.9216338996585272,24.0
1.0,0.3,0.9323598563346038,0.3,0.9323598563346038,23.0
1.0,0.3,0.9432106414774498,0.3,0.9432106414774498,23.0
1.0,0.3,0.9541877078382356,0.3,0.9541877078382356,23.0
1.0,0.3,0.9652925250752208,0.3,0.9652925250752208,23.0
1.0,0.3,0.9765265799505173,0.3,0.9765265799505173,22.0
1.0,0.3,0.987891376529145,0.3,0.987891376529145,22.0
1.0,0.3,0.9993884363804019,0.3,0.9993884363804019,22.0
1.0,0.3,1.0110192987815783,0.3,1.0110192987815783,22.0
1.0,0.3,1.0227855209240435,0.3,1.0227855209240435,21.0
1.0,0.3,1.0346886781217273,0.3,1.0346886781217273,21.0
1.0,0.3,1.0467303640220318,0.3,1.0467303640220318,21.0
1.0,0.3,1.058912190819195,0.3,1.058912190819195,20.0
1.0,0.3,1.071235789470139,0.3,1.071235789470139,20.0
1.0,0.3,1.0837028099128292,0.3,1.0837028099128292,20.0
